"Name","model.r_max","model.l_max","model.num_layers","model.num_tensor_features","model.num_scalar_features","model.allegro_mlp_hidden_layers_width","test0_epoch/forces_mae","test0_epoch/forces_rmse","test0_epoch/per_atom_energy_mae","test0_epoch/per_atom_energy_rmse","test0_epoch/total_energy_mae","test0_epoch/stress_mae","test0_epoch/stress_rmse","test0_epoch/weighted_sum","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","val0_epoch/forces_rmse","val0_epoch/per_atom_energy_rmse","val0_epoch/stress_rmse","val0_epoch/weighted_sum"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold1_seed1","5","2","2","64","128","128","0.18615921942908417","0.2984779953929632","0.02295688336858959","0.03173306189503237","2.2079744298703856","0.007391942493071432","0.01453091267591382","0.1252067949624945","2.219314906049594","0.007339037826439389","0.02330526753360031","0.1958950646247515","0.3682836921155416","0.03344086428900102","0.0150811980364854","0.13159913742673898"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold1_seed0","5","2","2","64","128","128","0.1864473339933304","0.29732484643143975","0.02337354210747131","0.03224596433833188","2.260189768105366","0.007257310770155433","0.014176851844164338","0.12535753961878787","2.2402546020355927","0.007116540259840533","0.02348370213021668","0.19629064356349268","0.3799522036724311","0.032250040836930435","0.014167815328610169","0.13178854456316924"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold0_seed2","5","2","2","64","128","128","0.1949461113056338","0.31645968436195715","0.023678788336111777","0.032809261015816694","2.249952657466756","0.007898949719195842","0.015012541394778357","0.13116392232365395","2.2842191002270553","0.008106356584076005","0.023992599652522633","0.2010880342148969","0.348150133995796","0.03718278117227039","0.01830341152138111","0.13527701611841145"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold0_seed1","5","2","2","64","128","128","0.1932038327180468","0.29863799368299043","0.023859565736696373","0.030431198901877583","2.3248131287398675","0.007998115117653965","0.015281262655567233","0.13005268525763664","2.3060564061045","0.008102947450830969","0.023945328216893533","0.19908960544213777","0.3314194685538286","0.03578554417347022","0.016574729121628887","0.13396051692887573"
"hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128_fold0_seed0","5","2","2","64","128","128","0.19114126150760205","0.3058289018772204","0.02403549046087716","0.03248111743346603","2.269044516958725","0.007589821798000296","0.01471889832081321","0.1285637382998814","2.269574635412494","0.007934103044214817","0.024591728906055276","0.19683893181548803","0.3378323016367143","0.04033446414697542","0.018641478211015704","0.13243277494455036"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold2_seed2","5","2","2","32","128","512","0.18534576189030347","0.29772108103951345","0.027266931782816823","0.03796958481082578","2.5290333369011124","0.007136234312908796","0.014333018108256433","0.12464422215948304","2.566207843791352","0.007210273487792902","0.02797232842778716","0.19009514401423697","0.30243793426789634","0.04114197046673482","0.015619910458295567","0.12780245218861125"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold2_seed1","5","2","2","32","128","512","0.18771266867880165","0.2939343524830274","0.025219626695903333","0.03664845758497499","2.310922371278176","0.007162620800131729","0.014647412155263972","0.1261831392189379","2.3576294899560737","0.007123934067801778","0.02540471854404838","0.19312000479755892","0.30000540996912706","0.04145428614019996","0.015571141608742293","0.1297303067120663"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold2_seed0","5","2","2","32","128","512","0.18103602019961104","0.28564326156387687","0.023545418238395142","0.031341669467580616","2.2253706767101877","0.007129852734012805","0.013942032366486067","0.12175779929696404","2.28948334795227","0.00733931717672817","0.02455223150649509","0.18611850387360887","0.29587372909074405","0.039122505026983494","0.01995966238576503","0.12518368887638348"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold1_seed2","5","2","2","32","128","512","0.1829503975700637","0.3003944190834257","0.022046169666857456","0.028326120173828222","2.1881982867602887","0.007217178859958179","0.01399331220363945","0.12302625683774995","2.2053418831811045","0.0071712233473583365","0.02303024118303462","0.19292188446821787","0.3649039326331109","0.031234471004154267","0.01452348482340322","0.12958427695102484"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold1_seed1","5","2","2","32","128","512","0.17796611044304156","0.2849455698859099","0.022423891561445267","0.03305800141319829","2.123941103130661","0.007265457235545563","0.01432377028434264","0.11976797163950216","2.1167101272839877","0.0071223228072031025","0.022605263060113796","0.1880468783096801","0.35962672872084894","0.0313366681841445","0.013931458557510951","0.12635535853584468"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold1_seed0","5","2","2","32","128","512","0.17685510153994577","0.2880115965339338","0.02246686941652399","0.02950556287902677","2.194772333207134","0.006933548827048233","0.01379872632287437","0.11892842983013184","2.2007977732420025","0.006810607845722225","0.023110694371463972","0.1867999891550324","0.364862922876592","0.031591870543616604","0.014301525618280957","0.12543914931929132"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold0_seed2","5","2","2","32","128","512","0.18878565187640153","0.30213030405826263","0.02372529201376145","0.03171404068108649","2.2820420888107633","0.00787252396357121","0.015239519173908892","0.12710290769635682","2.2505880833132825","0.007842670087608371","0.023568194239479232","0.19551003160509772","0.34903222526156197","0.03470580701614134","0.015656212722853502","0.13151495429848123"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold0_seed1","5","2","2","32","128","512","0.1899041695849958","0.32473071203911186","0.024731242107161832","0.03335434180447717","2.299903619365958","0.007666230043494785","0.014794573460880584","0.1277841509532148","2.329776538509675","0.00818616556546343","0.025426395895178623","0.19588975456485896","0.34907424911794543","0.04189593808922482","0.02642956827333876","0.1319022139904567"
"hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512_fold0_seed0","5","2","2","32","128","512","0.1852918026946184","0.2925547848554731","0.023144190319373183","0.03067475569505412","2.1715994589307903","0.007293053519418851","0.013980451828695893","0.12460606135573377","2.19996832043595","0.0074621823409433165","0.023728216618616776","0.1911997088483232","0.33627678278623063","0.0359436363000076","0.017886979851493623","0.12855616075734683"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold2_seed2","5","2","2","32","128","256","0.19559155047368657","0.3061281179730868","0.025086040810519725","0.03627461420497266","2.352742806296029","0.007374042241861334","0.0149964989352296","0.1314344029018603","2.3996510364975676","0.007277119265787409","0.02562856089934177","0.20083838755215008","0.3144520308758411","0.03995216176231757","0.01458837695737174","0.13486152526515174"
